Time_Taken,Sensor 1,Sensor 2,Sensor 3,Sensor 4
345,1.06099999,0.902999997,0.096000001,0.100000001
347,1.06099999,0.902999997,0.100000001,0.100000001
349,1.06099999,0.906000018,0.103,0.103
351,1.06099999,0.908999979,0.108999997,0.100000001
354,1.06099999,0.912,0.115999997,0.100000001
357,1.06099999,0.916000009,0.122000001,0.103
361,1.06400001,0.921999991,0.135000005,0.100000001
364,1.06400001,0.921999991,0.141000003,0.100000001
368,1.06400001,0.925000012,0.158000007,0.103
371,1.06400001,0.92900002,0.170000002,0.100000001
374,1.06400001,0.931999981,0.187000006,0.100000001
377,1.06400001,0.935000002,0.200000003,0.100000001
380,1.06400001,0.938000023,0.216000006,0.100000001
383,1.067000031,0.938000023,0.231999993,0.100000001
386,1.067000031,0.940999985,0.247999996,0.100000001
389,1.067000031,0.944999993,0.263999999,0.100000001
392,1.067000031,0.948000014,0.27700001,0.103
394,1.067000031,0.948000014,0.293000013,0.100000001
396,1.067000031,0.948000014,0.300000012,0.103
398,1.067000031,0.953999996,0.308999985,0.103
400,1.067000031,0.953999996,0.321999997,0.100000001
402,1.067000031,0.958000004,0.331999987,0.100000001
404,1.067000031,0.958000004,0.338,0.100000001
406,1.067000031,0.958000004,0.34799999,0.100000001
408,1.067000031,0.961000025,0.354000002,0.103
410,1.067000031,0.961000025,0.363999993,0.100000001
412,1.067000031,0.963999987,0.374000013,0.103
415,1.067000031,0.967000008,0.382999986,0.103
418,1.070000052,0.967000008,0.395999998,0.103
421,1.070000052,0.970000029,0.405999988,0.100000001
425,1.070000052,0.973999977,0.419,0.103
429,1.070000052,0.973999977,0.42899999,0.103
431,1.070000052,0.973999977,0.437999994,0.103
434,1.070000052,0.976999998,0.448000014,0.103
437,1.070000052,0.976999998,0.458000004,0.103
440,1.070000052,0.980000019,0.467000008,0.103
443,1.070000052,0.980000019,0.474000007,0.103
445,1.070000052,0.980000019,0.476999998,0.103
447,1.070000052,0.98299998,0.48300001,0.103
449,1.070000052,0.98299998,0.49000001,0.103
451,1.070000052,0.98299998,0.495999992,0.100000001
453,1.070000052,0.98299998,0.5,0.103
456,1.067000031,0.986999989,0.505999982,0.103
459,1.070000052,0.986999989,0.515999973,0.103
461,1.070000052,0.986999989,0.518999994,0.103
463,1.070000052,0.986999989,0.524999976,0.103
465,1.070000052,0.986999989,0.528999984,0.103
466,1.070000052,0.99000001,0.528999984,0.103
467,1.070000052,0.99000001,0.532000005,0.103
468,1.070000052,0.99000001,0.535000026,0.103
469,1.070000052,0.99000001,0.535000026,0.103
470,1.070000052,0.99000001,0.537999988,0.103
471,1.070000052,0.99000001,0.541000009,0.103
472,1.070000052,0.99000001,0.545000017,0.103
473,1.070000052,0.992999971,0.545000017,0.103
474,1.070000052,0.99000001,0.547999978,0.103
475,1.070000052,0.992999971,0.547999978,0.100000001
477,1.070000052,0.992999971,0.550999999,0.103
478,1.070000052,0.992999971,0.55400002,0.103
479,1.070000052,0.992999971,0.55400002,0.100000001
480,1.070000052,0.992999971,0.558000028,0.103
481,1.070000052,0.992999971,0.56099999,0.100000001
482,1.070000052,0.992999971,0.56099999,0.103
483,1.070000052,0.992999971,0.56400001,0.103
484,1.070000052,0.992999971,0.566999972,0.103
485,1.070000052,0.992999971,0.566999972,0.103
486,1.070000052,0.992999971,0.569999993,0.103
487,1.070000052,0.992999971,0.574000001,0.103
488,1.070000052,0.992999971,0.574000001,0.103
489,1.070000052,0.992999971,0.574000001,0.103
490,1.070000052,0.992999971,0.577000022,0.103
491,1.070000052,0.995999992,0.579999983,0.103
492,1.070000052,0.995999992,0.579999983,0.103
493,1.070000052,0.995999992,0.583000004,0.103
494,1.070000052,0.995999992,0.587000012,0.103
496,1.067000031,0.995999992,0.589999974,0.103
498,1.067000031,0.995999992,0.592999995,0.100000001
