Time_Taken,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5
0,0.435000002,0.370000005,0.460999995,0.453999996,0.421999991
3,0.435000002,0.370000005,0.463999987,0.453999996,0.421999991
6,0.435000002,0.370000005,0.463999987,0.458000004,0.425000012
9,0.435000002,0.370000005,0.463999987,0.458000004,0.421999991
12,0.437999994,0.370000005,0.463999987,0.453999996,0.421999991
15,0.437999994,0.370000005,0.463999987,0.458000004,0.421999991
18,0.437999994,0.370000005,0.463999987,0.458000004,0.425000012
21,0.437999994,0.374000013,0.463999987,0.458000004,0.425000012
25,0.437999994,0.374000013,0.463999987,0.458000004,0.425000012
28,0.435000002,0.374000013,0.463999987,0.463999987,0.425000012
31,0.437999994,0.374000013,0.467000008,0.458000004,0.425000012
34,0.437999994,0.374000013,0.467000008,0.458000004,0.425000012
37,0.437999994,0.374000013,0.467000008,0.460999995,0.425000012
40,0.437999994,0.374000013,0.463999987,0.460999995,0.425000012
43,0.441000015,0.374000013,0.467000008,0.460999995,0.425000012
47,0.441000015,0.374000013,0.467000008,0.460999995,0.42899999
50,0.441000015,0.377000004,0.467000008,0.460999995,0.425000012
53,0.441000015,0.374000013,0.467000008,0.463999987,0.425000012
56,0.441000015,0.377000004,0.467000008,0.463999987,0.425000012
59,0.441000015,0.377000004,0.467000008,0.463999987,0.42899999
62,0.441000015,0.377000004,0.469999999,0.463999987,0.42899999
65,0.444999993,0.377000004,0.469999999,0.463999987,0.42899999
68,0.444999993,0.377000004,0.469999999,0.463999987,0.42899999
71,0.444999993,0.377000004,0.469999999,0.463999987,0.42899999
74,0.448000014,0.377000004,0.469999999,0.463999987,0.42899999
77,0.451000005,0.379999995,0.469999999,0.463999987,0.42899999
80,0.453999996,0.379999995,0.469999999,0.463999987,0.42899999
83,0.460999995,0.379999995,0.469999999,0.467000008,0.42899999
86,0.469999999,0.379999995,0.469999999,0.467000008,0.42899999
89,0.493000001,0.379999995,0.469999999,0.467000008,0.42899999
92,0.535000026,0.379999995,0.469999999,0.469999999,0.42899999
95,0.596000016,0.379999995,0.469999999,0.469999999,0.42899999
98,0.680000007,0.379999995,0.469999999,0.467000008,0.432000011
101,0.76700002,0.379999995,0.474000007,0.469999999,0.432000011
104,0.828999996,0.379999995,0.474000007,0.467000008,0.432000011
107,0.874000013,0.382999986,0.474000007,0.469999999,0.432000011
110,0.912,0.382999986,0.474000007,0.469999999,0.432000011
113,0.950999975,0.382999986,0.474000007,0.469999999,0.432000011
116,0.980000019,0.382999986,0.474000007,0.474000007,0.432000011
119,1.008999944,0.382999986,0.474000007,0.469999999,0.432000011
122,1.031999946,0.382999986,0.474000007,0.469999999,0.432000011
125,1.05400002,0.382999986,0.474000007,0.469999999,0.435000002
128,1.074000001,0.382999986,0.474000007,0.469999999,0.432000011
131,1.082999945,0.386999995,0.474000007,0.474000007,0.432000011
134,1.095999956,0.386999995,0.474000007,0.474000007,0.432000011
